model_term,value,mean,scale
intercept,-0.040563118556196792,1,1
0,1.45566858944873,-8.7420115935968266,2.1844847333228063
1,-0.40535572991206337,-0.066502868742975715,0.7177546633212345
2,-0.21171136831255558,0.093160733390374423,0.68682362831937716
